timer_name,id,parent_id,ncalls,total_time
prep_nl,1,749,4,0.38899999932340279E-6
calc_moments,2,240,1,0.16472438000000089E-1
calcaux,3,339,1,0.19489397999999269E-1
h_from_f_ff2_gpu,4,170,3,0.70985999999972904E-3
compadi,5,733,3,0.91577200000036996E-3
add_nl,6,527,2,0.20136279999993789E-2
addadi,7,884,3,0.15299042000000096E-1
hypz_cmp,8,688,2,0.87999999287546871E-7
pf_dfb,9,403,2,0.77740000001824683E-5
CalFRhs0,10,581,1,0.29041886999999988E-1
compadi,11,456,1,0.15350450000006788E-2
calc_moments,12,339,1,0.70126650000004176E-2
ccdens,14,969,2,0.97806199999972421E-3
dzv_ak,15,527,2,0.35159499999970478E-3
pf_dgdxy,16,834,3,0.17015000000064617E-4
dzv_ak,18,510,496,0.58520351000005633E-1
eRK_stage_2,20,762,3,0.27935841999999766E-1
sum_vwsp,23,188,1000,21.481941660000381
prdi_fld,24,510,496,0.54446000002261741E-4
sum_vwsp,28,63,1,0.15108550000002552E-2
prdi_g,29,849,3,0.29499999953941369E-6
pf_dgdxy,30,861,1000,0.74969460010620992E-2
add_dchidxy,31,740,1000,0.25745097999150701E-1
addadi,32,1023,1000,40.675820364999140
pf_dfb,33,294,9998,0.38118863998986008E-1
ex_gen_real,34,195,1,0.16902000000040829E-4
fdi_fld,35,749,2,0.22700000013031740E-6
f_and_fields_to_GPU,36,440,496,0.59011189999989000E-2
ccdens,40,924,2,0.88859899999960135E-3
exv6d,41,45,3,0.53790430999999916E-1
compute_barchi_gpu,42,275,1,0.13909999999839329E-4
dApardt,43,462,9998,0.43150000330616223E-3
gsub,44,1007,1,535.28790205200005
calc_ff1_gpu,45,170,3,0.60572797999999928E-1
compadi,46,968,2,0.34669999999970003E-3
calcaux,47,465,2,0.12205857999999736E-1
ex_gen_real,48,473,3849,0.56601680000034627E-2
pf_dfb,49,953,3,0.98350000001801163E-5
pf_dfb,53,597,9998,0.37728941002110439E-1
sum_sp,54,210,28672,0.12809667999993835E-1
pf_dfb,55,237,3,0.10116999999976173E-4
pf_dfb,57,717,2,0.73550000010413896E-5
dgdxy,59,749,2,0.97277000000062230E-4
ccdens,63,3,1,0.46069969999997795E-2
fdi_g,64,752,2,0.31099999997508121E-6
pfld,65,10,1,0.53939999995478161E-5
hypz_cmp,66,10,1,0.62999999883572855E-7
pf_dfb,67,929,3,0.99359999996551096E-5
Prefetch_mome_field,68,3,1,0.66150000002096476E-5
prep_nl,69,834,6,0.45099999956832448E-6
