timer_name,id,parent_id,ncalls,total_time
prep_nl,1,749,4,0.28299999943470766E-6
calc_moments,2,240,1,0.16462276000000386E-1
calcaux,3,339,1,0.40805168999999530E-1
h_from_f_ff2_gpu,4,170,3,0.67697099999985966E-3
compadi,5,733,3,0.48400999999964611E-3
add_nl,6,527,2,0.20255700000006982E-2
addadi,7,884,3,0.14530650999999395E-1
hypz_cmp,8,688,2,0.88000000175725290E-7
pf_dfb,9,403,2,0.79359999993755537E-5
CalFRhs0,10,581,1,0.29269103999999935E-1
compadi,11,456,1,0.13113340000003859E-2
calc_moments,12,339,1,0.57757449999993327E-2
ccdens,14,969,2,0.91394300000047224E-3
dzv_ak,15,527,2,0.34676899999919186E-3
pf_dgdxy,16,834,3,0.18373999999710122E-4
dzv_ak,18,510,496,0.58461298000004547E-1
eRK_stage_2,20,762,3,0.26316263000000006E-1
sum_vwsp,23,188,1000,17.983809965999768
prdi_fld,24,510,496,0.56813000002708947E-4
sum_vwsp,28,63,1,0.97014100000070158E-3
prdi_g,29,849,3,0.24499999939919803E-6
pf_dgdxy,30,861,1000,0.80130430004032860E-2
add_dchidxy,31,740,1000,0.26214884000111738E-1
addadi,32,1023,1000,28.591079269001298
pf_dfb,33,294,9998,0.38296647998532940E-1
ex_gen_real,34,195,1,0.90509999992605117E-5
fdi_fld,35,749,2,0.24299999967780650E-6
f_and_fields_to_GPU,36,440,496,0.81067040000109003E-2
ccdens,40,924,2,0.88997599999984800E-3
exv6d,41,45,3,0.79262149999999920E-1
compute_barchi_gpu,42,275,1,0.12229000000196777E-4
dApardt,43,462,9998,0.51164900269018432E-3
gsub,44,1007,1,483.95451409300000
calc_ff1_gpu,45,170,3,0.85286934999999620E-1
compadi,46,968,2,0.34145399999996329E-3
calcaux,47,465,2,0.11207991000000028E-1
ex_gen_real,48,473,3849,0.57925449999838285E-2
pf_dfb,49,953,3,0.10395000000329446E-4
pf_dfb,53,597,9998,0.38132771000532806E-1
sum_sp,54,210,28672,0.10904822000012970E-1
pf_dfb,55,237,3,0.11031000000549795E-4
pf_dfb,57,717,2,0.74900000006650203E-5
dgdxy,59,749,2,0.96257999999238564E-4
ccdens,63,3,1,0.41337079999994586E-2
fdi_g,64,752,2,0.37600000002413481E-6
pfld,65,10,1,0.54540000000713462E-5
hypz_cmp,66,10,1,0.48000000418824129E-7
pf_dfb,67,929,3,0.10673000000238630E-4
Prefetch_mome_field,68,3,1,0.54170000005626662E-5
prep_nl,69,834,6,0.40599999939772147E-6
pfld,70,749,2,0.90560000005623920E-5
addadi,73,286,3,0.73709399999932756E-3
pf_dfb,74,229,2,0.81700000009732321E-5
ccdens,75,417,1,0.50946374000000016
prdi_fld,76,850,3,0.36600000008490952E-6
fdi_fld,77,462,9998,0.13202099991946881E-2
f_and_fields_to_GPU,78,881,9998,0.62718846002131734E-1
FldSlv,79,417,1,0.15314359999996086E-2
x_pfkp,80,20,3,0.57469999998893684E-5
dzv_ak,82,638,9998,1.7453471340013156
pfld,83,510,496,0.32958350000038550E-2
add_dchidxy,84,247,3,0.51597000000569437E-4
Prefetch_mome_field,85,170,3,0.18559000000362147E-4
pr_hf,86,638,9998,0.20401120000483886E-2
Prefetch_mome_field,87,503,9998,0.51263632001294468E-1
prdi_fld,88,527,2,0.23199999965584084E-6
compute_barchi_gpu,89,696,2,0.16785999998880641E-4
exz3d,90,817,8,0.27438159999988443E-2
add_dchidxy,91,602,3,0.50905000000156519E-4
x_pfkp,92,680,3,0.55099999998198257E-5
add_dchidxy,93,409,3,0.22233110000002831E-2
pf_dfb,94,1002,2,0.74810000008085353E-5
pr_hf,95,752,2,0.56799999992307448E-6
evsolver,96,380,6,0.99703190599999836
dgdxy,100,861,1000,2.0771873389998197
pf_dfb,101,469,9998,0.40203906998752537E-1
h_from_f_ff2_gpu,102,417,1,0.29102000000058581E-4
calcaux,103,226,9998,48.356784738002091
fdi_fld,104,936,9998,0.12939029987109052E-2
pf_chib,105,857,2,0.49630000003020314E-5
pfld,106,849,3,0.11523100000010444E-3
calc_ff1_gpu,107,103,9998,39.437241552001900
x_pfgnew,108,881,9998,0.48582074000816711E-1
f_and_fields_to_GPU,109,547,2,0.12622999999933882E-4
pf_dfb,110,549,3,0.99950000000958994E-5
pf_dfb,111,163,9998,0.38149952000545717E-1
sum_cmplx_vw,112,581,8,0.31615505999999627E-1
pf_dfb,113,949,2,0.90349999997130226E-5
g_to_GPU,114,465,2,0.80690000006100604E-5
h_to_GPU,115,399,3,0.11966999999835082E-4
sum_vwsp,116,468,9998,4.2244177529985816
prdi_g,117,861,1000,0.15255500093847019E-3
Prefetch_mome_field,119,661,9998,0.50944534000236352E-1
calcmom1_gpu,120,505,9998,1.3695325019990419
fdi_fld,121,269,9998,0.14156899994306471E-2
pf_dgdxy,122,527,2,0.14120999998645800E-4
FldSlv,124,47,2,0.47358300000066578E-3
en_block,125,475,1000,71.691453087001520
fdi_fld,126,834,3,0.35299999945337390E-6
pf_chib,127,609,1,0.10738000000287684E-4
add_dchidxy,128,236,9998,0.16987561099884108
pr_g,129,638,9998,0.66035399896069435E-3
add_nl,130,688,2,0.20235230000000826E-2
pr_g,131,269,9998,0.67921600055331766E-3
calc_ff1_gpu,132,3,1,0.32592986000000046E-1
prdi_g,133,850,3,0.26600000024856740E-6
add_dchidxy,135,789,9998,0.16860445099640220
rkupd,136,307,3,0.16626600000035907E-3
pf_nl,137,705,9998,0.43787207000250739E-1
hypz_cmp,138,936,9998,0.40741800149834972E-3
compadi,143,918,168,0.19688143999998964E-1
calcmom1_gpu,144,349,3,0.19157599999974906E-3
prep_nl,145,527,4,0.28699999976566914E-6
sum_vwsp,146,228,9998,4.0276972629996415
FldSlv,147,503,9998,1.7348012540009732
dApardt,148,749,2,0.86000000010244548E-7
pf_dgdxy,149,269,9998,0.68859266003754804E-1
pr_hf,152,462,9998,0.18676159981758644E-2
pr_fld,154,638,9998,0.17470819981282304E-2
prep_nl,155,10,2,0.16600000130040371E-6
prdi_fld,157,936,9998,0.11878979974424553E-2
pf_dfb,161,149,9998,0.40855129002458135E-1
h_to_GPU,163,881,9998,0.40118374000259749E-1
exv6d,164,342,9998,37.064646601000319
calcnl,165,130,2,0.32346900000046475E-3
add_dchidxy_wo_curv,166,125,1000,0.83887169992964417E-2
fdi_fld,167,861,1000,0.29894100041349958E-3
Prefetch_mome_field,168,890,1000,0.50661899997530568E-2
g_to_GPU,169,261,9998,0.41942105999372536E-1
calcaux,170,399,3,0.12073143799999997
exz3d,171,3,1,0.19006600000004426E-3
pf_dfb,172,605,3,0.11537000000227948E-4
pf_nl,173,421,3,0.11689000000369987E-4
addadi,176,746,1000,0.12243047100008297
ex_gen_real,177,210,1282,0.38236099999955364E-2
eRK_standard,178,219,9998,253.99418472600112
FldSlv,179,661,9998,1.4729039860020068
pf_dgdxy,182,936,9998,0.68398872999147819E-1
prep_nl,183,849,6,0.40400000012041914E-6
compadi,184,911,3,0.44458599999952497E-3
add_dchidxy,185,723,2,0.34043999999511243E-4
pf_dfb,186,585,3,0.11127000000055176E-4
ccdens,188,554,1000,18.736799038999958
exz_f_gpu,189,107,9998,2.3422586289987786
pf_dfb,190,909,2,0.75640000005705588E-5
calcmom1_gpu,191,40,2,0.72736999999989393E-4
rkupd,193,482,9998,0.55460496199963583
exz3d,194,503,9998,1.4977262840013479
initialization,195,44,1,1.3996446699999998
h_to_GPU,196,680,3,0.10377000000172387E-4
add_nl,197,850,3,0.30269859999996207E-2
dgdxy,198,850,3,0.14296300000005147E-3
addadi,199,815,2,0.31496699999866706E-3
h_to_GPU,200,547,2,0.80909999997658133E-5
h_from_f_ff2_gpu,202,554,1000,0.28186594999475290E-1
prdi_fld,206,269,9998,0.13231899994829988E-2
addadi,207,1024,9998,1.2464487350002988
pfld,208,834,3,0.11761500000018188E-3
pf_chib,209,268,9998,0.24591194999718624E-1
initrhs,210,821,1,0.58838275300000009
exz_f_gpu,213,956,9998,2.3163072619957763
dzv_ak,214,752,2,0.24282929999994707E-2
exz3d,215,630,9998,1.5762045489987653
dApardt,216,834,3,0.14299999939737518E-6
x_pfgnew,217,547,2,0.87539999995556173E-5
exz_f_gpu,218,273,9998,2.3459455269977445
t_loop,219,855,1,477.27936008799998
add_dchidxy,220,249,3,0.53984999999645567E-4
hypz_cmp,221,749,2,0.78999999431061951E-7
pfld,222,752,2,0.96779999996243760E-5
prdi_g,223,834,3,0.24200000048324455E-6
pf_dfb,224,319,3,0.10072000000249659E-4
pf_dfb,225,277,3,0.10513999999961499E-4
eRK_stage_3,226,178,9998,62.779583345001761
ccdens,228,661,9998,4.6678216599971440
f_and_fields_to_GPU,229,801,2,0.12264999999622717E-4
pf_dfb,231,108,9998,0.45695569998154717E-1
compadi,235,722,2,0.26816599999968105E-3
dfielddxy,236,638,9998,0.55586722599781080
pf_dgdxy,237,850,3,0.18633999999906337E-4
calcaux,238,838,2,0.14593177000000068E-1
d_nrg,240,339,1,0.51744412999999767E-1
pfld,244,861,1000,0.57897820004892964E-2
pf_dfb,245,790,2,0.76660000001282924E-5
calc_ff1_gpu,246,554,1000,7.4361060589999877
dfielddxy,247,849,3,0.16744300000004486E-3
pf_dfb,248,506,9998,0.40173279999476286E-1
dfielddxy,249,834,3,0.17101999999979967E-3
prdi_fld,251,462,9998,0.11928329995694043E-2
pf_nl,252,165,2,0.87820000000959908E-5
addadi,254,179,9998,1.2385226080016718
pr_hf,255,527,2,0.39000000029432158E-6
prdi_fld,256,749,2,0.26200000036169513E-6
h_from_f_ff2_gpu,257,802,3,0.63512000000098823E-4
exz_f_gpu,258,441,3,0.76095799999986724E-3
calcnl,259,971,9998,1.5936569709994961
eRK_stage_1,261,178,9998,64.246567474001210
prdi_g,262,462,9998,0.78839599466640209E-3
f_and_fields_to_GPU,263,482,9998,0.62572816997003677E-1
pefo,264,440,496,0.87474520000090372E-2
x_pfkp,265,307,3,0.55439999999684630E-5
calcmom1_gpu,266,959,3,0.67081289999997296E-2
