timer_name,id,parent_id,ncalls,total_time
prep_nl,1,751,4,0.50100000059671856E-6
calc_moments,2,240,1,0.16170719999999861E-1
calcaux,3,339,1,0.61372559000000493E-1
h_from_f_ff2_gpu,4,170,3,0.68465499999970092E-3
compadi,5,733,3,0.63584500000013477E-3
add_nl,6,527,2,0.20256629999995113E-2
addadi,7,884,3,0.12994298999999820E-1
hypz_cmp,8,688,2,0.15488999999924147E-4
pf_dfb,9,403,2,0.70999999994825203E-5
CalFRhs0,10,581,1,0.29337826999999983E-1
compadi,11,456,1,0.10329399999999822E-2
calc_moments,12,339,1,0.61450459999994322E-2
ccdens,14,969,2,0.86008199999998425E-3
dzv_ak,15,527,2,0.34641599999929440E-3
pf_dgdxy,16,834,3,0.17662000000306932E-4
eRK_stage_2,20,762,3,0.16110217000000038E-1
sum_vwsp,24,188,1000,18.192193601000646
sum_vwsp,28,63,1,0.37851660000001175E-2
prdi_g,29,849,3,0.23199999965584084E-6
pf_dgdxy,30,862,1000,0.73587150002287771E-2
add_dchidxy,31,743,1000,0.25948626000711350E-1
addadi,32,1023,1000,27.486679798000178
pf_dfb,33,294,9998,0.34207901999993240E-1
ex_gen_real,34,195,1,0.77030000000810617E-5
fdi_fld,35,751,2,0.18500000020793550E-6
ccdens,40,924,2,0.93356100000097086E-3
exv6d,41,45,3,0.10312406100000038
compute_barchi_gpu,42,275,1,0.98210000007981080E-5
gsub,44,1007,1,367.12037497900002
calc_ff1_gpu,45,170,3,0.10973894700000031
compadi,46,968,2,0.18183490000005520E-2
calcaux,47,465,2,0.52102839999994544E-2
dApardt,48,462,9998,0.52185100194446221E-3
pf_dfb,49,953,3,0.10260999999456288E-4
pf_dfb,53,597,9998,0.34329489000793245E-1
sum_sp,54,210,28672,0.11131273999985591E-1
pf_dfb,55,237,3,0.10587999999422948E-4
pf_dfb,57,717,2,0.68910000008415295E-5
dgdxy,59,751,2,0.95061999999757063E-4
ccdens,63,3,1,0.70571959999998768E-2
fdi_g,64,756,2,0.34700000028919931E-6
pfld,65,10,1,0.38478999999647101E-4
hypz_cmp,66,10,1,0.12503999999857740E-4
pf_dfb,67,929,3,0.10322000000506648E-4
Prefetch_mome_field,68,3,1,0.50979999999256620E-5
prep_nl,69,834,6,0.52999999988756485E-6
pfld,70,751,2,0.76730999999163885E-4
addadi,73,286,3,0.64250399999998820E-3
pf_dfb,74,229,2,0.74970000003560244E-5
ccdens,75,418,1,0.19054876600000004
prdi_fld,76,850,3,0.30100000003585592E-6
fdi_fld,77,462,9998,0.10006340003929637E-2
f_and_fields_to_GPU,78,881,9998,0.57451708999582962E-1
FldSlv,79,418,1,0.13536169999994740E-2
x_pfkp,80,20,3,0.55359999997506293E-5
dzv_ak,83,638,9998,1.7402877889999928
add_dchidxy,84,247,3,0.50787000000163118E-4
Prefetch_mome_field,85,170,3,0.16078000000252501E-4
pr_hf,86,638,9998,0.24119260036323809E-2
Prefetch_mome_field,87,503,9998,0.46907187000829076E-1
prdi_fld,88,527,2,0.25499999978251253E-6
compute_barchi_gpu,89,697,2,0.15579999999459915E-4
exz3d,90,817,8,0.39721620000001678E-2
add_dchidxy,91,602,3,0.71743999999984709E-4
x_pfkp,92,680,3,0.52059999999798379E-5
add_dchidxy,93,409,3,0.22448050000001274E-2
pf_dfb,94,1004,2,0.66569999992438511E-5
pr_hf,95,756,2,0.87700000062085337E-6
dgdxy,100,862,1000,2.0717424500003814
pf_dfb,101,469,9998,0.35778691999804657E-1
h_from_f_ff2_gpu,102,418,1,0.33302999999484939E-4
